patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1278.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1241.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1190.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1185.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1175.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1158.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1156.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1101.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1100.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,785.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,749.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,745.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,614.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,600.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,583.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,578.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,577.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,553.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,489.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,470.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,469.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,443.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,407.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,288.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,268.0,1300,1300
