patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1269.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1252.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1248.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1229.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1213.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1212.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1206.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1191.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1187.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,1135.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,1120.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,1101.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,1095.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,1090.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,1083.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,842.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,835.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,834.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,774.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,771.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,565.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,560.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,558.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,530.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,526.0,1300,1300
