patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1269.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1222.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1222.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1203.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1165.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1163.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1162.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1127.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1126.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,892.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,875.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,861.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,844.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,836.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,824.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,585.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,573.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,570.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,518.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,507.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,504.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,446.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,429.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,405.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,389.0,1300,1300
