patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1061.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1005.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1001.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,998.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,987.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,940.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,940.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,937.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,933.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,741.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,720.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,713.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,707.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,706.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,698.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,695.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,682.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,682.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,671.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,670.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,657.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,560.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,543.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,539.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,518.0,1300,1300
