patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1227.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1211.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1197.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1171.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1157.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1149.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1099.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1077.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,1070.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1068.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,1063.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,1034.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,1029.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,967.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,954.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,821.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,818.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,812.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,753.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,747.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,588.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,577.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,571.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,527.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,526.0,1300,1300
