patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1261.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1230.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1230.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1213.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1208.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1200.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1189.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1187.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1166.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,904.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,901.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,890.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,889.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,883.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,880.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,867.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,855.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,854.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,846.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,844.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,831.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,713.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,679.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,669.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,649.0,1300,1300
