patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1245.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1201.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1189.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1185.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1164.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1149.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1134.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1129.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1113.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,748.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,729.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,719.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,718.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,701.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,695.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,630.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,617.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,608.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,604.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,594.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,586.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,411.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,409.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,404.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,396.0,1300,1300
